1,5,1,1,3,5,1,3,5,3,3,1,3,3,3,3,1,1,2,3,2,5,2,1,5,4,3,3,2,4,2,5,2,2,3,3,1,5,5,3,3,5,3,2,5,3,5,5,5,2,2,5,3,5,3,5,3,3,3,5,2,5,5,3,5,5,3,4,3,3,5,3,5,3,5,5,5,5,3,3,3,3,3,3,5,3,3,3,3,3,5,3,5,5,5,5,5,3,5,3,3,3,3,5,3,3,3,3,3,5,3,3,3,3,5,3,3,3,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,5,3,3,5,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,5,3,5,3,3,3,3,3,5,5,5,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3
2,6,2,2,5,6,2,4,6,4,4,2,5,4,4,4,2,2,4,5,5,6,3,2,6,5,5,5,5,5,4,6,5,5,5,5,2,6,6,5,4,6,4,3,6,4,6,6,8,3,3,6,5,6,4,6,5,4,4,6,5,6,6,5,8,6,5,5,5,5,6,5,6,4,6,6,6,6,5,5,5,5,5,4,6,5,5,5,5,5,6,5,6,6,6,6,6,5,6,5,5,5,5,6,5,5,5,5,5,6,5,5,5,5,6,5,5,5,5,4,5,6,5,5,6,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,6,5,5,6,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,6,5,6,5,5,5,5,5,6,6,6,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5
3,7,3,5,6,8,3,5,8,5,5,3,6,5,5,5,3,3,5,6,6,8,4,3,8,6,6,6,6,6,5,8,6,6,6,6,3,8,8,8,5,8,5,4,8,5,8,8,9,5,4,8,6,8,5,8,8,5,5,8,6,8,8,8,12,8,8,6,6,6,8,6,8,5,8,8,8,8,6,6,6,6,6,5,8,6,6,6,6,6,8,6,8,8,8,8,8,6,8,6,6,6,6,8,6,6,6,6,6,8,6,6,6,6,8,6,6,6,6,5,6,8,6,6,8,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,8,6,6,8,6,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,6,6,6,6,8,6,8,6,6,6,6,6,8,8,8,6,6,6,6,8,6,6,6,6,6,6,6,6,6,6,6
4,8,5,6,8,9,4,6,9,6,6,4,8,6,6,6,5,4,6,8,8,9,5,5,16,8,8,9,8,8,6,10,8,8,17,9,5,9,16,9,8,16,6,5,16,6,16,12,12,6,5,16,8,16,6,16,12,6,6,16,8,16,16,12,16,12,12,8,8,8,16,8,16,6,16,16,12,16,8,8,8,8,8,6,16,8,8,8,8,8,16,8,16,16,16,16,16,8,16,8,8,8,8,16,8,8,8,8,8,16,8,8,8,8,16,8,8,8,8,6,8,12,8,8,16,8,8,8,8,8,8,8,8,8,8,16,8,8,8,8,8,16,8,8,16,8,16,16,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,8,8,8,8,8,8,16,8,16,8,8,8,8,8,16,16,16,8,8,8,8,16,8,8,8,8,8,8,8,8,8,8,8
5,9,6,7,9,10,5,8,13,8,9,5,9,8,9,8,6,5,8,9,13,10,6,6,19,9,12,12,16,9,8,14,13,13,19,12,6,12,19,12,12,19,8,6,19,8,17,16,16,8,6,19,16,19,8,17,16,8,8,17,16,17,19,16,17,16,16,16,12,12,17,16,19,8,19,19,16,17,16,16,12,16,12,8,17,16,16,16,16,16,17,12,17,19,19,19,17,16,19,16,16,16,16,17,16,16,16,16,16,17,16,16,16,16,17,16,16,12,16,8,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,19,16,16,17,16,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,17,16,17,16,16,16,16,16,19,19,17,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16
6,11,7,8,11,13,6,9,14,9,10,6,10,9,10,9,8,6,13,10,14,16,8,8,21,12,16,17,19,16,13,16,14,14,20,17,8,16,21,16,16,21,16,8,21,16,19,19,19,14,8,21,17,21,16,19,17,12,16,19,17,19,24,24,19,19,17,17,16,16,19,17,24,16,20,24,19,19,17,17,16,17,16,16,19,17,17,17,17,17,19,16,19,24,24,24,19,17,24,17,17,17,17,19,17,17,17,17,17,19,17,17,17,17,19,17,17,16,17,16,17,17,17,17,19,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,24,17,17,19,17,19,19,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,19,17,17,17,17,17,17,19,17,19,17,17,17,17,17,24,24,19,17,17,17,17,19,17,17,17,17,17,17,17,17,17,17,17
7,12,8,9,12,14,8,13,15,10,17,9,13,10,12,17,9,8,14,19,16,19,12,13,22,14,19,19,20,17,14,19,16,16,21,19,11,19,22,19,17,22,17,16,24,17,21,21,21,15,12,22,19,22,17,21,19,16,17,20,19,24,35,25,24,21,19,19,17,17,24,19,25,17,24,33,24,24,19,19,17,19,17,17,20,19,19,19,19,19,24,17,24,25,33,33,24,19,25,19,19,19,19,24,19,19,19,19,19,24,19,19,19,19,24,19,19,17,19,17,19,19,19,19,24,19,19,19,19,19,19,19,19,19,19,24,19,19,19,19,19,33,19,19,24,19,24,24,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,24,19,19,19,19,19,19,24,19,24,19,19,19,19,19,25,33,24,19,19,19,19,24,19,19,19,19,19,19,19,19,19,19,19
8,13,9,10,13,16,13,14,16,13,19,13,14,17,17,19,10,9,15,21,19,21,16,14,23,16,20,20,23,19,16,21,19,21,22,21,12,21,24,21,19,24,19,17,25,19,22,22,22,16,16,24,21,24,19,24,24,17,19,24,20,25,36,28,25,22,24,20,19,19,33,20,27,19,25,35,25,25,20,24,19,24,19,19,24,24,24,24,24,20,33,19,33,26,34,34,25,24,33,24,24,20,20,25,24,24,24,24,24,33,24,24,24,24,33,24,24,19,24,19,24,24,24,24,25,24,24,24,24,24,24,24,24,24,24,33,24,24,24,24,24,35,24,24,33,24,33,33,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,33,24,24,24,24,24,24,33,24,33,24,24,24,24,24,33,35,33,24,24,24,20,33,24,24,24,24,24,24,24,24,24,24,24
11,14,10,13,14,21,14,15,19,14,20,14,19,19,19,20,13,10,16,22,20,22,17,16,24,19,21,21,24,21,17,22,20,22,23,22,13,22,25,22,20,25,20,19,26,20,24,24,24,17,17,25,22,25,20,25,33,19,20,25,24,33,38,33,27,24,25,24,24,20,34,24,33,20,26,36,26,33,24,25,20,33,24,20,25,33,33,25,33,24,34,24,34,33,35,35,33,25,35,27,33,24,24,26,33,33,33,33,33,35,27,33,33,33,34,33,33,24,33,24,33,33,33,33,33,33,25,33,33,25,33,33,33,25,33,35,33,33,33,33,33,36,25,25,35,33,34,34,33,33,33,33,25,33,33,33,33,33,33,33,33,33,33,33,33,33,35,33,33,33,33,33,33,35,33,35,33,33,33,33,33,35,36,35,33,33,33,24,35,33,33,33,33,33,33,33,33,33,33,33
12,16,13,14,16,22,15,16,21,17,21,17,21,20,20,21,16,13,19,23,21,23,19,19,25,20,22,22,25,22,19,24,24,24,24,23,14,23,26,24,21,26,21,20,34,24,25,25,25,19,19,26,24,26,24,33,34,20,24,26,25,34,40,35,34,25,26,33,27,24,35,27,34,24,27,38,35,34,25,27,24,34,25,24,27,34,34,33,34,27,35,33,35,35,36,36,34,33,36,33,35,25,33,33,34,34,34,34,34,36,33,35,34,34,35,34,34,33,35,33,35,35,34,34,35,34,33,35,34,33,35,34,34,33,34,36,35,34,34,35,34,38,33,33,36,34,35,35,34,34,34,35,33,34,35,34,35,35,34,35,35,34,35,35,34,35,36,34,35,35,35,35,34,36,35,36,34,35,35,34,34,36,38,36,34,34,35,33,36,35,34,35,35,35,34,35,35,34,35,35
13,19,14,15,20,23,16,20,22,19,22,19,22,21,21,22,19,14,20,24,22,24,20,20,26,21,24,23,26,24,20,25,25,25,25,24,16,24,33,25,24,27,24,25,35,26,26,33,26,20,20,33,25,28,27,34,35,24,33,27,26,35,41,36,35,26,28,34,33,25,36,33,35,27,33,40,36,35,26,33,25,35,35,25,33,35,35,34,35,33,36,35,36,36,38,38,35,35,38,34,36,27,34,35,35,35,35,35,35,38,34,36,35,35,36,35,35,35,36,34,36,36,35,35,36,35,35,36,35,35,36,35,35,34,35,38,36,35,35,36,35,44,35,35,38,35,36,36,35,35,35,36,35,35,36,35,36,36,35,36,36,35,36,36,35,36,38,35,36,36,36,36,35,38,36,38,35,36,36,35,35,38,44,38,35,35,36,34,44,36,35,36,36,36,35,36,36,35,36,36
14,21,15,16,21,24,18,21,23,20,23,20,23,22,22,23,21,16,22,25,23,25,24,21,27,22,25,24,27,25,21,26,26,26,26,25,17,25,35,26,25,28,25,26,36,29,27,35,35,24,24,35,27,35,33,35,36,33,34,33,27,36,44,38,36,35,33,35,34,27,38,34,36,33,34,41,38,36,27,34,27,36,36,33,34,36,36,35,36,34,38,36,38,38,40,40,36,36,44,35,38,33,35,36,36,36,36,36,36,40,35,38,36,36,38,36,36,36,38,35,38,38,36,36,38,36,36,38,36,36,38,36,36,35,36,44,38,36,36,38,36,60,36,36,44,36,38,38,36,36,36,38,36,36,44,36,38,38,36,38,38,36,38,38,36,38,44,36,38,38,38,38,36,40,38,44,36,38,38,36,36,44,70,44,36,36,38,35,70,38,36,44,38,38,36,38,38,36,38,38
15,22,16,20,22,25,19,22,24,21,25,23,24,27,23,25,22,20,24,26,24,26,25,24,28,24,26,25,29,33,24,33,27,32,27,26,19,26,36,35,26,35,33,27,38,33,34,36,36,25,25,36,33,36,34,36,38,34,35,34,29,38,70,44,44,36,35,36,35,33,41,35,38,34,35,44,40,38,33,35,33,38,38,34,35,38,38,36,38,35,40,38,40,44,44,44,38,38,60,36,44,34,36,38,38,38,38,38,38,41,36,40,38,38,44,38,38,38,40,36,44,44,44,44,44,38,38,40,38,38,40,38,38,36,38,70,40,38,38,44,38,70,38,38,60,38,44,44,38,38,38,44,38,38,70,38,44,40,38,44,44,38,44,44,38,44,60,44,44,44,44,44,38,44,44,60,38,44,44,38,44,60,79,70,44,38,44,36,79,44,44,60,44,44,38,44,44,38,44,44
16,23,18,21,23,26,20,24,25,22,26,24,25,29,25,26,23,21,25,34,25,27,26,25,33,25,27,26,30,34,32,34,29,33,33,35,20,27,38,36,35,36,34,29,40,34,35,38,37,26,26,38,34,38,35,38,40,35,36,35,33,40,79,49,49,38,36,38,36,34,44,36,44,35,36,60,41,40,34,36,34,40,44,35,36,44,40,38,40,36,44,40,44,60,70,70,40,40,70,44,60,35,44,40,40,44,40,44,40,44,38,44,40,44,70,40,40,44,44,38,60,60,79,60,60,44,44,44,40,44,44,44,44,38,44,79,44,44,44,60,44,79,44,44,70,44,70,70,44,44,44,60,44,44,79,44,60,44,44,70,60,44,60,70,44,60,70,60,60,60,60,60,44,60,60,70,44,70,60,44,60,70,80,79,60,44,70,38,80,60,60,70,60,60,44,60,70,44,60,60
17,24,19,22,24,32,21,25,26,23,27,25,26,30,26,27,24,22,26,35,26,28,27,26,34,26,28,27,31,36,33,36,31,34,34,36,23,28,39,38,36,38,35,30,41,35,36,40,38,27,27,40,35,40,36,41,44,36,38,36,34,44,80,57,57,40,38,40,38,35,49,44,49,36,44,70,44,41,35,38,35,44,60,36,38,60,44,40,44,44,60,44,70,70,79,79,44,44,79,79,70,36,60,41,44,79,44,60,44,70,44,70,44,60,79,44,44,60,60,44,70,70,80,70,70,79,60,60,44,60,60,60,60,44,70,80,70,70,60,70,60,80,60,70,79,60,79,79,79,60,60,70,60,60,80,60,70,60,60,79,70,70,70,79,79,70,79,79,70,70,70,70,60,70,70,79,70,79,70,70,79,79,83,80,70,60,79,44,83,70,70,79,70,70,70,70,79,70,70,70
18,25,20,23,25,33,22,26,27,24,29,26,27,31,27,29,25,24,29,36,29,35,29,32,35,34,34,28,32,37,34,37,32,37,35,38,24,35,40,40,38,40,36,31,44,36,38,41,39,29,29,41,36,41,38,44,49,38,40,44,35,49,83,60,60,41,44,44,44,36,79,49,65,44,49,79,60,44,36,44,36,79,70,38,44,79,70,44,79,49,79,60,79,79,80,80,70,60,80,80,79,44,79,44,60,80,79,79,79,79,79,79,70,79,80,70,70,70,70,60,79,79,85,79,79,80,70,70,70,70,70,70,70,60,79,83,79,79,70,79,70,83,70,79,80,70,80,80,80,70,70,79,70,70,85,79,79,70,70,80,79,79,79,80,80,79,80,80,79,79,79,79,70,79,79,80,79,80,79,79,80,80,101,101,79,70,80,79,101,79,79,80,79,79,79,79,80,79,79,79
19,26,23,24,26,34,23,27,34,25,31,29,35,32,28,31,26,25,31,38,30,36,31,33,36,35,35,33,33,38,36,38,33,38,36,40,25,36,41,41,40,41,38,33,49,38,41,44,40,30,30,44,38,42,44,49,60,44,44,49,36,79,87,67,71,44,49,79,49,44,80,72,66,49,79,80,70,79,38,49,44,80,79,44,79,80,79,60,80,60,80,70,80,80,83,83,79,70,83,83,80,60,80,60,70,83,80,80,80,80,80,80,79,80,101,79,79,79,79,79,80,80,101,80,80,101,79,79,79,79,79,79,79,70,80,85,80,80,79,80,79,101,79,80,83,79,101,83,85,79,79,80,79,79,101,80,80,79,79,85,80,80,80,83,83,80,83,83,80,80,80,80,79,80,80,101,80,101,80,80,83,83,104,104,80,79,101,80,119,80,80,83,80,80,80,80,83,80,80,80
20,27,24,25,27,35,24,32,35,26,32,31,36,34,29,34,32,26,32,39,31,37,32,34,38,36,36,34,34,39,37,39,34,39,38,41,26,38,42,42,41,42,44,34,60,40,44,49,41,31,31,49,41,44,49,60,72,49,79,57,44,80,101,68,72,49,57,80,60,49,85,79,79,79,80,83,79,80,44,60,49,83,80,79,80,83,80,79,83,79,101,79,101,83,101,97,80,79,101,101,101,79,101,70,79,101,83,83,101,83,85,83,80,83,119,80,80,80,80,80,83,83,106,101,83,106,80,80,80,80,80,80,80,79,101,101,83,83,80,83,80,119,80,83,101,80,119,85,101,80,80,83,80,80,119,101,83,80,80,101,101,83,83,101,101,101,101,101,101,83,101,83,80,83,101,119,83,119,83,101,101,101,119,119,101,80,104,83,120,83,83,101,83,83,83,83,101,83,83,83
23,28,25,26,30,36,25,33,36,27,33,32,38,35,33,35,33,30,33,40,32,38,33,37,40,38,40,35,35,40,38,40,35,40,41,42,27,40,44,44,44,44,49,35,65,44,49,60,42,32,33,65,44,49,57,79,79,60,80,71,49,83,104,70,79,60,60,83,79,60,101,80,80,80,83,101,80,83,49,79,60,85,83,80,83,85,83,80,85,80,104,80,104,101,104,101,83,80,119,119,104,80,106,79,80,119,101,101,104,101,101,101,101,101,120,85,85,83,101,101,85,101,119,119,101,119,83,101,101,83,101,101,83,80,119,119,101,101,83,101,101,120,83,101,119,83,120,101,119,101,83,101,83,101,120,119,101,83,101,119,104,101,101,119,119,119,104,119,119,101,104,101,101,101,119,120,94,120,101,119,119,104,120,120,119,83,119,94,0,101,85,119,101,101,94,85,104,94,101,101
24,33,26,30,31,37,26,34,38,32,34,33,39,36,34,36,34,31,34,41,33,39,34,38,41,39,41,36,36,41,39,41,36,41,44,44,28,41,60,49,49,49,59,36,66,49,57,70,43,33,34,66,49,60,72,80,80,72,83,72,59,85,119,72,80,70,70,101,80,71,106,83,83,101,85,104,83,85,79,80,71,101,87,83,85,101,85,83,101,83,119,83,119,119,119,104,101,83,120,120,119,83,119,80,101,120,104,104,119,104,106,104,104,119,0,101,101,101,104,119,101,119,120,120,104,120,85,104,104,85,104,104,101,83,120,120,104,119,101,119,119,0,101,119,120,101,0,119,120,119,101,119,101,119,0,120,119,101,119,120,119,119,119,120,120,120,119,120,120,119,119,104,119,104,120,0,101,0,119,120,120,119,0,0,120,101,120,101,0,119,101,120,119,119,101,101,119,101,119,119
25,34,29,31,32,38,29,35,39,33,35,34,40,39,35,38,36,32,35,42,34,40,35,39,44,40,44,40,44,42,40,43,45,42,49,49,29,44,70,60,59,60,60,38,79,65,58,79,44,34,35,70,57,66,79,83,83,79,90,79,72,101,120,79,83,79,72,104,83,72,119,85,101,106,101,119,87,101,80,83,72,104,101,94,94,104,97,85,104,101,120,85,120,120,120,119,104,101,0,0,120,101,120,83,104,0,119,119,120,119,119,119,119,120,0,104,104,119,119,120,104,120,0,0,119,0,101,119,119,101,119,119,119,101,0,0,119,120,119,120,120,0,104,120,0,119,0,120,0,120,119,120,119,120,0,0,120,104,120,0,120,120,120,0,0,0,120,0,0,120,120,119,120,119,0,0,119,0,120,0,0,120,0,0,0,119,0,119,0,120,119,0,120,120,119,119,120,119,120,120
26,35,30,32,34,39,30,36,40,34,36,35,41,41,36,41,37,33,36,44,35,41,36,40,49,41,49,41,45,43,43,44,49,43,57,59,30,49,79,67,60,65,79,44,80,66,59,80,60,35,36,79,58,70,80,85,101,80,97,80,79,104,0,80,87,80,79,106,101,79,120,101,119,116,119,120,101,104,83,101,79,106,104,101,101,119,101,101,106,106,0,101,0,0,0,120,119,104,0,0,0,119,0,97,119,0,120,120,0,120,120,120,120,0,0,119,106,120,120,0,119,0,0,0,120,0,119,120,120,119,120,120,120,119,0,0,120,0,120,0,0,0,119,0,0,120,0,0,0,0,120,0,120,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,120,0,0,120,0,0,0,0,0,0,0,0,120,0,120,0,0,120,0,0,0,120,120,0,120,0,0
27,36,31,33,35,40,31,38,41,35,41,36,42,44,40,44,38,34,38,49,36,42,41,41,57,43,57,44,49,44,44,65,55,44,58,60,31,57,80,70,79,66,80,49,83,78,60,83,69,36,45,80,59,79,101,101,104,101,101,83,80,119,0,83,101,83,80,116,119,80,0,106,120,119,120,0,104,119,85,119,80,119,119,104,106,120,104,104,119,116,0,104,0,0,0,0,120,119,0,0,0,120,0,101,120,0,0,0,0,0,0,0,0,0,0,120,119,0,0,0,120,0,0,0,0,0,120,0,0,120,0,0,0,120,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
